,League,Season,Club,Rank
318,Serie A,2017,Chievo Verona,13.0
319,Serie A,2017,Udinese Calcio,14.0
320,Serie A,2017,Bologna,15.0
321,Serie A,2017,Cagliari Calcio,16.0
322,Serie A,2017,SPAL,17.0
323,Serie A,2017,Crotone,18.0
324,Serie A,2017,Hellas Verona,19.0
325,Serie A,2017,Benevento,20.0
326,Serie A,2018,Juventus,1.0
327,Serie A,2018,SSC Napoli,2.0
328,Serie A,2018,Atalanta BC,3.0
329,Serie A,2018,Inter,4.0
330,Serie A,2018,AC Milan,5.0
331,Serie A,2018,AS Roma,6.0
332,Serie A,2018,Torino,7.0
333,Serie A,2018,Lazio,8.0
334,Serie A,2018,Sampdoria,9.0
335,Serie A,2018,Bologna,10.0
336,Serie A,2018,Sassuolo,11.0
337,Serie A,2018,Udinese Calcio,12.0
338,Serie A,2018,SPAL,13.0
339,Serie A,2018,Parma,14.0
340,Serie A,2018,Cagliari Calcio,15.0
341,Serie A,2018,Fiorentina,16.0
342,Serie A,2018,Genoa,17.0
343,Serie A,2018,Empoli,18.0
344,Serie A,2018,Frosinone,19.0
345,Serie A,2018,Chievo Verona,20.0
346,Serie A,2019,Juventus,1.0
347,Serie A,2019,Inter,2.0
348,Serie A,2019,Atalanta BC,3.0
349,Serie A,2019,Lazio,4.0
350,Serie A,2019,AS Roma,5.0
351,Serie A,2019,AC Milan,6.0
352,Serie A,2019,SSC Napoli,7.0
353,Serie A,2019,Sassuolo,8.0
354,Serie A,2019,Hellas Verona,9.0
355,Serie A,2019,Fiorentina,10.0
356,Serie A,2019,Parma,11.0
357,Serie A,2019,Bologna,12.0
358,Serie A,2019,Udinese Calcio,13.0
359,Serie A,2019,Cagliari Calcio,14.0
360,Serie A,2019,Sampdoria,15.0
361,Serie A,2019,Torino,16.0
362,Serie A,2019,Genoa,17.0
363,Serie A,2019,Lecce,18.0
364,Serie A,2019,Brescia,19.0
365,Serie A,2019,SPAL,20.0
366,Serie A,2020,Inter,1.0
367,Serie A,2020,AC Milan,2.0
368,Serie A,2020,Atalanta BC,3.0
369,Serie A,2020,Juventus,4.0
370,Serie A,2020,SSC Napoli,5.0
371,Serie A,2020,Lazio,6.0
372,Serie A,2020,AS Roma,7.0
373,Serie A,2020,Sassuolo,8.0
374,Serie A,2020,Sampdoria,9.0
375,Serie A,2020,Hellas Verona,10.0
376,Serie A,2020,Genoa,11.0
377,Serie A,2020,Bologna,12.0
378,Serie A,2020,Fiorentina,13.0
379,Serie A,2020,Udinese Calcio,14.0
380,Serie A,2020,Spezia Calcio,15.0
381,Serie A,2020,Cagliari Calcio,16.0
382,Serie A,2020,Torino,17.0
383,Serie A,2020,Benevento,18.0
384,Serie A,2020,Crotone,19.0
385,Serie A,2020,Parma,20.0
386,Serie A,2021,AC Milan,1.0
387,Serie A,2021,Inter,2.0
388,Serie A,2021,SSC Napoli,3.0
389,Serie A,2021,Juventus,4.0
390,Serie A,2021,Lazio,5.0
391,Serie A,2021,AS Roma,6.0
392,Serie A,2021,Fiorentina,7.0
393,Serie A,2021,Atalanta BC,8.0
394,Serie A,2021,Hellas Verona,9.0
395,Serie A,2021,Torino,10.0
396,Serie A,2021,Sassuolo,11.0
397,Serie A,2021,Udinese Calcio,12.0
398,Serie A,2021,Bologna,13.0
399,Serie A,2021,FC Empoli,14.0
400,Serie A,2021,Sampdoria,15.0
401,Serie A,2021,Spezia Calcio,16.0
402,Serie A,2021,Salernitana,17.0
403,Serie A,2021,Cagliari Calcio,18.0
404,Serie A,2021,Genoa,19.0
405,Serie A,2021,Venezia,20.0
406,Ligue 1,2015,Paris SG,1.0
407,Ligue 1,2015,Olympique Lyon,2.0
408,Ligue 1,2015,Monaco,3.0
409,Ligue 1,2015,OGC Nice,4.0
410,Ligue 1,2015,LOSC Lille,5.0
411,Ligue 1,2015,Saint-Étienne,6.0
412,Ligue 1,2015,SM Caen,7.0
413,Ligue 1,2015,Rennes,8.0
414,Ligue 1,2015,Angers SCO,9.0
415,Ligue 1,2015,SC Bastia,10.0
416,Ligue 1,2015,G. Bordeaux,11.0
417,Ligue 1,2015,Montpellier,12.0
418,Ligue 1,2015,Marseille,13.0
419,Ligue 1,2015,FC Nantes,14.0
420,Ligue 1,2015,FC Lorient,15.0
421,Ligue 1,2015,Guingamp,16.0
422,Ligue 1,2015,Toulouse,17.0
423,Ligue 1,2015,Stade Reims,18.0
424,Ligue 1,2015,G. Ajaccio,19.0
425,Ligue 1,2015,Troyes,20.0
426,Ligue 1,2016,Monaco,1.0
427,Ligue 1,2016,Paris SG,2.0
428,Ligue 1,2016,OGC Nice,3.0
429,Ligue 1,2016,Olympique Lyon,4.0
430,Ligue 1,2016,Marseille,5.0
431,Ligue 1,2016,G. Bordeaux,6.0
432,Ligue 1,2016,FC Nantes,7.0
433,Ligue 1,2016,Saint-Étienne,8.0
434,Ligue 1,2016,Rennes,9.0
435,Ligue 1,2016,Guingamp,10.0
436,Ligue 1,2016,LOSC Lille,11.0
437,Ligue 1,2016,Angers SCO,12.0
438,Ligue 1,2016,Toulouse,13.0
439,Ligue 1,2016,FC Metz,14.0
440,Ligue 1,2016,Montpellier,15.0
441,Ligue 1,2016,Dijon,16.0
442,Ligue 1,2016,SM Caen,17.0
443,Ligue 1,2016,FC Lorient,18.0
444,Ligue 1,2016,AS Nancy,19.0
445,Ligue 1,2016,SC Bastia,20.0
446,Ligue 1,2017,Paris SG,1.0
447,Ligue 1,2017,Monaco,2.0
448,Ligue 1,2017,Olympique Lyon,3.0
449,Ligue 1,2017,Marseille,4.0
450,Ligue 1,2017,Rennes,5.0
451,Ligue 1,2017,G. Bordeaux,6.0
452,Ligue 1,2017,Saint-Étienne,7.0
453,Ligue 1,2017,OGC Nice,8.0
454,Ligue 1,2017,FC Nantes,9.0
455,Ligue 1,2017,Montpellier,10.0
456,Ligue 1,2017,Dijon,11.0
457,Ligue 1,2017,Guingamp,12.0
458,Ligue 1,2017,Amiens SC,13.0
459,Ligue 1,2017,Angers SCO,14.0
460,Ligue 1,2017,R. Strasbourg,15.0
461,Ligue 1,2017,SM Caen,16.0
462,Ligue 1,2017,LOSC Lille,17.0
463,Ligue 1,2017,Toulouse,18.0
464,Ligue 1,2017,Troyes,19.0
465,Ligue 1,2017,FC Metz,20.0
466,Ligue 1,2018,Paris SG,1.0
467,Ligue 1,2018,LOSC Lille,2.0
468,Ligue 1,2018,Olympique Lyon,3.0
469,Ligue 1,2018,Saint-Étienne,4.0
470,Ligue 1,2018,Marseille,5.0
471,Ligue 1,2018,Montpellier,6.0
472,Ligue 1,2018,OGC Nice,7.0
473,Ligue 1,2018,Stade Reims,8.0
474,Ligue 1,2018,Nîmes Olympique,9.0
475,Ligue 1,2018,Rennes,10.0
476,Ligue 1,2018,R. Strasbourg,11.0
477,Ligue 1,2018,FC Nantes,12.0
478,Ligue 1,2018,Angers SCO,13.0
479,Ligue 1,2018,G. Bordeaux,14.0
480,Ligue 1,2018,Amiens SC,15.0
481,Ligue 1,2018,Toulouse,16.0
482,Ligue 1,2018,Monaco,17.0
483,Ligue 1,2018,Dijon,18.0
484,Ligue 1,2018,SM Caen,19.0
485,Ligue 1,2018,Guingamp,20.0
486,Ligue 1,2019,Paris SG,1.0
487,Ligue 1,2019,Marseille,2.0
488,Ligue 1,2019,Rennes,3.0
489,Ligue 1,2019,LOSC Lille,4.0
490,Ligue 1,2019,Stade Reims,5.0
491,Ligue 1,2019,OGC Nice,6.0
492,Ligue 1,2019,Olympique Lyon,7.0
493,Ligue 1,2019,Montpellier,8.0
494,Ligue 1,2019,Monaco,9.0
495,Ligue 1,2019,R. Strasbourg,10.0
496,Ligue 1,2019,Angers SCO,11.0
497,Ligue 1,2019,G. Bordeaux,12.0
498,Ligue 1,2019,FC Nantes,13.0
499,Ligue 1,2019,Stade Brestois,14.0
500,Ligue 1,2019,FC Metz,15.0
501,Ligue 1,2019,Dijon,16.0
502,Ligue 1,2019,Saint-Étienne,17.0
503,Ligue 1,2019,Nîmes Olympique,18.0
504,Ligue 1,2019,Amiens SC,19.0
505,Ligue 1,2019,Toulouse,20.0
506,Ligue 1,2020,LOSC Lille,1.0
507,Ligue 1,2020,Paris SG,2.0
508,Ligue 1,2020,Monaco,3.0
509,Ligue 1,2020,Olympique Lyon,4.0
510,Ligue 1,2020,Marseille,5.0
511,Ligue 1,2020,Rennes,6.0
512,Ligue 1,2020,Lens,7.0
513,Ligue 1,2020,Montpellier,8.0
514,Ligue 1,2020,OGC Nice,9.0
515,Ligue 1,2020,FC Metz,10.0
516,Ligue 1,2020,Saint-Étienne,11.0
517,Ligue 1,2020,G. Bordeaux,12.0
518,Ligue 1,2020,Angers SCO,13.0
519,Ligue 1,2020,Stade Reims,14.0
520,Ligue 1,2020,R. Strasbourg,15.0
521,Ligue 1,2020,FC Lorient,16.0
522,Ligue 1,2020,Stade Brestois,17.0
523,Ligue 1,2020,FC Nantes,18.0
524,Ligue 1,2020,Nîmes Olympique,19.0
525,Ligue 1,2020,Dijon,20.0
526,Ligue 1,2021,Paris SG,1.0
527,Ligue 1,2021,Marseille,2.0
528,Ligue 1,2021,Monaco,3.0
529,Ligue 1,2021,Rennes,4.0
530,Ligue 1,2021,OGC Nice,5.0
531,Ligue 1,2021,R. Strasbourg,6.0
532,Ligue 1,2021,Lens,7.0
533,Ligue 1,2021,Olympique Lyon,8.0
534,Ligue 1,2021,FC Nantes,9.0
535,Ligue 1,2021,LOSC Lille,10.0
536,Ligue 1,2021,Stade Brestois,11.0
537,Ligue 1,2021,Stade Reims,12.0
538,Ligue 1,2021,Montpellier,13.0
539,Ligue 1,2021,Angers SCO,14.0
540,Ligue 1,2021,Troyes,15.0
541,Ligue 1,2021,FC Lorient,16.0
542,Ligue 1,2021,Clermont Foot,17.0
543,Ligue 1,2021,Saint-Étienne,18.0
544,Ligue 1,2021,FC Metz,19.0
545,Ligue 1,2021,G. Bordeaux,20.0
546,LaLiga,2015,Barcelona,1.0
547,LaLiga,2015,Real Madrid,2.0
548,LaLiga,2015,Atlético Madrid,3.0
549,LaLiga,2015,Villarreal,4.0
550,LaLiga,2015,Athletic,5.0
551,LaLiga,2015,Celta de Vigo,6.0
552,LaLiga,2015,Sevilla FC,7.0
553,LaLiga,2015,Málaga CF,8.0
554,LaLiga,2015,Real Sociedad,9.0
555,LaLiga,2015,Real Betis,10.0
556,LaLiga,2015,UD Las Palmas,11.0
557,LaLiga,2015,Valencia,12.0
558,LaLiga,2015,SD Eibar,13.0
559,LaLiga,2015,Espanyol,14.0
560,LaLiga,2015,Dep. La Coruña,15.0
561,LaLiga,2015,Granada CF,16.0
562,LaLiga,2015,Sporting Gijón,17.0
563,LaLiga,2015,Rayo Vallecano,18.0
564,LaLiga,2015,Getafe,19.0
565,LaLiga,2015,Levante,20.0
566,LaLiga,2016,Real Madrid,1.0
567,LaLiga,2016,Barcelona,2.0
568,LaLiga,2016,Atlético Madrid,3.0
569,LaLiga,2016,Sevilla FC,4.0
570,LaLiga,2016,Villarreal,5.0
571,LaLiga,2016,Real Sociedad,6.0
572,LaLiga,2016,Athletic,7.0
573,LaLiga,2016,Espanyol,8.0
574,LaLiga,2016,Alavés,9.0
575,LaLiga,2016,SD Eibar,10.0
576,LaLiga,2016,Málaga CF,11.0
577,LaLiga,2016,Valencia,12.0
578,LaLiga,2016,Celta de Vigo,13.0
579,LaLiga,2016,UD Las Palmas,14.0
580,LaLiga,2016,Real Betis,15.0
581,LaLiga,2016,Dep. La Coruña,16.0
582,LaLiga,2016,CD Leganés,17.0
583,LaLiga,2016,Sporting Gijón,18.0
584,LaLiga,2016,CA Osasuna,19.0
585,LaLiga,2016,Granada CF,20.0
586,LaLiga,2017,Barcelona,1.0
587,LaLiga,2017,Atlético Madrid,2.0
588,LaLiga,2017,Real Madrid,3.0
589,LaLiga,2017,Valencia,4.0
590,LaLiga,2017,Villarreal,5.0
591,LaLiga,2017,Real Betis,6.0
592,LaLiga,2017,Sevilla FC,7.0
593,LaLiga,2017,Getafe,8.0
594,LaLiga,2017,SD Eibar,9.0
595,LaLiga,2017,Girona,10.0
596,LaLiga,2017,Espanyol,11.0
597,LaLiga,2017,Real Sociedad,12.0
598,LaLiga,2017,Celta de Vigo,13.0
599,LaLiga,2017,Alavés,14.0
600,LaLiga,2017,Levante,15.0
601,LaLiga,2017,Athletic,16.0
602,LaLiga,2017,CD Leganés,17.0
603,LaLiga,2017,Dep. La Coruña,18.0
604,LaLiga,2017,UD Las Palmas,19.0
605,LaLiga,2017,Málaga CF,20.0
606,LaLiga,2018,Barcelona,1.0
607,LaLiga,2018,Atlético Madrid,2.0
608,LaLiga,2018,Real Madrid,3.0
609,LaLiga,2018,Valencia,4.0
610,LaLiga,2018,Getafe,5.0
611,LaLiga,2018,Sevilla FC,6.0
612,LaLiga,2018,Espanyol,7.0
613,LaLiga,2018,Athletic,8.0
614,LaLiga,2018,Real Sociedad,9.0
615,LaLiga,2018,Real Betis,10.0
616,LaLiga,2018,Alavés,11.0
617,LaLiga,2018,SD Eibar,12.0
618,LaLiga,2018,CD Leganés,13.0
619,LaLiga,2018,Villarreal,14.0
620,LaLiga,2018,Levante,15.0
621,LaLiga,2018,Real Valladolid,16.0
622,LaLiga,2018,Celta de Vigo,17.0
623,LaLiga,2018,Girona,18.0
624,LaLiga,2018,SD Huesca,19.0
625,LaLiga,2018,Rayo Vallecano,20.0
626,LaLiga,2019,Real Madrid,1.0
627,LaLiga,2019,Barcelona,2.0
628,LaLiga,2019,Atlético Madrid,3.0
629,LaLiga,2019,Sevilla FC,4.0
630,LaLiga,2019,Villarreal,5.0
631,LaLiga,2019,Real Sociedad,6.0
632,LaLiga,2019,Granada CF,7.0
633,LaLiga,2019,Getafe,8.0
634,LaLiga,2019,Valencia,9.0
635,LaLiga,2019,CA Osasuna,10.0
636,LaLiga,2019,Athletic,11.0
637,LaLiga,2019,Levante,12.0
638,LaLiga,2019,Real Valladolid,13.0
639,LaLiga,2019,SD Eibar,14.0
640,LaLiga,2019,Real Betis,15.0
641,LaLiga,2019,Alavés,16.0
642,LaLiga,2019,Celta de Vigo,17.0
643,LaLiga,2019,CD Leganés,18.0
644,LaLiga,2019,RCD Mallorca,19.0
645,LaLiga,2019,Espanyol,20.0
646,LaLiga,2020,Atlético Madrid,1.0
647,LaLiga,2020,Real Madrid,2.0
648,LaLiga,2020,Barcelona,3.0
649,LaLiga,2020,Sevilla FC,4.0
650,LaLiga,2020,Real Sociedad,5.0
651,LaLiga,2020,Real Betis,6.0
652,LaLiga,2020,Villarreal,7.0
653,LaLiga,2020,Celta de Vigo,8.0
654,LaLiga,2020,Athletic,9.0
655,LaLiga,2020,Granada CF,10.0
656,LaLiga,2020,CA Osasuna,11.0
657,LaLiga,2020,Cádiz CF,12.0
658,LaLiga,2020,Valencia,13.0
659,LaLiga,2020,Levante,14.0
660,LaLiga,2020,Getafe,15.0
661,LaLiga,2020,Alavés,16.0
662,LaLiga,2020,Elche CF,17.0
663,LaLiga,2020,SD Huesca,18.0
664,LaLiga,2020,Real Valladolid,19.0
665,LaLiga,2020,SD Eibar,20.0
666,LaLiga,2021,Real Madrid,1.0
667,LaLiga,2021,Barcelona,2.0
668,LaLiga,2021,Atlético Madrid,3.0
669,LaLiga,2021,Sevilla FC,4.0
670,LaLiga,2021,Real Betis,5.0
671,LaLiga,2021,Real Sociedad,6.0
672,LaLiga,2021,Villarreal,7.0
673,LaLiga,2021,Athletic,8.0
674,LaLiga,2021,Valencia,9.0
675,LaLiga,2021,CA Osasuna,10.0
676,LaLiga,2021,Celta de Vigo,11.0
677,LaLiga,2021,Rayo Vallecano,12.0
678,LaLiga,2021,Elche CF,13.0
679,LaLiga,2021,Espanyol,14.0
680,LaLiga,2021,Getafe,15.0
681,LaLiga,2021,RCD Mallorca,16.0
682,LaLiga,2021,Cádiz CF,17.0
683,LaLiga,2021,Granada CF,18.0
684,LaLiga,2021,Levante,19.0
685,LaLiga,2021,Alavés,20.0
